,texto
2739,"few hours of a night in which there are no stars and the moon is in travail. Mysticism, with its marvellous power"
2740,"of making common things strange to us, and the subtle antinomianism that always seems to accompany it,"
2741,moved him for a season; and for a season he inclined to the materialistic doctrines of the Darwinismus
2742,"movement in Germany, and found a curious pleasure in tracing the thoughts and passions of men to some"
2743,"pearly cell in the brain, or some white nerve in the body, delighting in the conception of the absolute"
2744,"dependence of the spirit on certain physical conditions, morbid or healthy, normal or diseased. Yet, as has been"
2745,"said of him before, no theory of life seemed to him to be of any importance compared with life itself. He felt"
2746,keenly conscious of how barren all intellectual speculation is when separated from action and experiment. He
2747,"knew that the senses, no less than the soul, have their spiritual mysteries to reveal."
2748,"And so he would now study perfumes and the secrets of their manufacture, distilling heavily scented oils and"
2749,burning odorous gums from the East. He saw that there was no mood of the mind that had not its counterpart in
2750,"the sensuous life, and set himself to discover their true relations, wondering what there was in frankincense that"
2751,"made one mystical, and in ambergris that stirred one’s passions, and in violets that woke the memory of dead"
2752,"romances, and in musk that troubled the brain, and in champak that stained the imagination; and seeking often"
2753,"to elaborate a real psychology of perfumes, and to estimate the several inﬂuences of sweet-smelling roots and"
2754,"scented, pollen-laden ﬂowers; of aromatic balms and of dark and fragrant woods; of spikenard, that sickens; of"
2755,"hovenia, that makes men mad; and of aloes, that are said to be able to expel melancholy from the soul."
2756,"At another time he devoted himself entirely to music, and in a long latticed room, with a vermilion-and-gold"
2757,"ceiling and walls of olive-green lacquer, he used to give curious concerts in which mad gipsies tore wild music"
2758,"from little zithers, or grave, yellow-shawled Tunisians plucked at the strained strings of monstrous lutes, while"
2759,"grinning Negroes beat monotonously upon copper drums and, crouching upon scarlet mats, slim turbaned"
2760,Indians blew through long pipes of reed or brass and charmed—or feigned to charm—great hooded snakes and
2761,horrible horned adders. The harsh intervals and shrill discords of barbaric music stirred him at times when
2762,"Schubert’s grace, and Chopin’s beautiful sorrows, and the mighty harmonies of Beethoven himself, fell"
2763,unheeded on his ear. He collected together from all parts of the world the strangest instruments that could be
2764,"found, either in the tombs of dead nations or among the few savage tribes that have survived contact with"
2765,"Western civilizations, and loved to touch and try them. He had the mysterious juruparis of the Rio Negro"
2766,"Indians, that women are not allowed to look at and that even youths may not see till they have been subjected"
2767,"to fasting and scourging, and the earthen jars of the Peruvians that have the shrill cries of birds, and ﬂutes of"
2768,"human bones such as Alfonso de Ovalle heard in Chile, and the sonorous green jaspers that are found near"
2769,Cuzco and give forth a note of singular sweetness. He had painted gourds ﬁlled with pebbles that rattled when
2770,"they were shaken; the long clarin of the Mexicans, into which the performer does not blow, but through which he"
2771,"inhales the air; the harsh ture of the Amazon tribes, that is sounded by the sentinels who sit all day long in high"
2772,"trees, and can be heard, it is said, at a distance of three leagues; the teponaztli, that has two vibrating tongues"
2773,of wood and is beaten with sticks that are smeared with an elastic gum obtained from the milky juice of plants;
2774,"the yotl-bells of the Aztecs, that are hung in clusters like grapes; and a huge cylindrical drum, covered with the"
2775,"skins of great serpents, like the one that Bernal Diaz saw when he went with Cortes into the Mexican temple,"
2776,and of whose doleful sound he has left us so vivid a description. The fantastic character of these instruments
2777,"fascinated him, and he felt a curious delight in the thought that art, like Nature, has her monsters, things of"
2778,"bestial shape and with hideous voices. Yet, after some time, he wearied of them, and would sit in his box at the"
2779,"opera, either alone or with Lord Henry, listening in rapt pleasure to “Tannhauser” and seeing in the prelude to"
2780,that great work of art a presentation of the tragedy of his own soul.
2781,"On one occasion he took up the study of jewels, and appeared at a costume ball as Anne de Joyeuse,"
2782,"Admiral of France, in a dress covered with ﬁve hundred and sixty pearls. This taste enthralled him for years,"
2783,"and, indeed, may be said never to have left him. He would often spend a whole day settling and resettling in"
2784,"their cases the various stones that he had collected, such as the olive-green chrysoberyl that turns red by"
2785,"lamplight, the cymophane with its wirelike line of silver, the pistachio-coloured peridot, rose-pink and wine-yellow"
2786,"topazes, carbuncles of ﬁery scarlet with tremulous, four-rayed stars, ﬂame-red cinnamon-stones, orange and"
2787,"violet spinels, and amethysts with their alternate layers of ruby and sapphire. He loved the red gold of the"
2788,"sunstone, and the moonstone’s pearly whiteness, and the broken rainbow of the milky opal. He procured from"
2789,"Amsterdam three emeralds of extraordinary size and richness of colour, and had a turquoise de la vieille roche"
2790,that was the envy of all the connoisseurs.
2791,"He discovered wonderful stories, also, about jewels. In Alphonso’s Clericalis Disciplina a serpent was"
2792,"mentioned with eyes of real jacinth, and in the romantic history of Alexander, the Conqueror of Emathia was"
2793,said to have found in the vale of Jordan snakes “with collars of real emeralds growing on their backs.” There
2794,"was a gem in the brain of the dragon, Philostratus told us, and “by the exhibition of golden letters and a scarlet"
2795,"robe” the monster could be thrown into a magical sleep and slain. According to the great alchemist, Pierre de"
2796,"Boniface, the diamond rendered a man invisible, and the agate of India made him eloquent. The cornelian"
2797,"appeased anger, and the hyacinth provoked sleep, and the amethyst drove away the fumes of wine. The garnet"
2798,"cast out demons, and the hydropicus deprived the moon of her colour. The selenite waxed and waned with the"
2799,"moon, and the meloceus, that discovers thieves, could be aﬀected only by the blood of kids. Leonardus"
2800,"Camillus had seen a white stone taken from the brain of a newly killed toad, that was a certain antidote against"
2801,"poison. The bezoar, that was found in the heart of the Arabian deer, was a charm that could cure the plague. In"
2802,"the nests of Arabian birds was the aspilates, that, according to Democritus, kept the wearer from any danger by"
2803,fire.
2804,"The King of Ceilan rode through his city with a large ruby in his hand, as the ceremony of his coronation. The"
2805,"gates of the palace of John the Priest were “made of sardius, with the horn of the horned snake inwrought, so"
2806,"that no man might bring poison within.” Over the gable were “two golden apples, in which were two carbuncles,”"
2807,so that the gold might shine by day and the carbuncles by night. In Lodge’s strange romance ‘A Margarite of
2808,"America’, it was stated that in the chamber of the queen one could behold “all the chaste ladies of the world,"
2809,"inchased out of silver, looking through fair mirrours of chrysolites, carbuncles, sapphires, and greene"
2810,emeraults.” Marco Polo had seen the inhabitants of Zipangu place rose-coloured pearls in the mouths of the
2811,"dead. A sea-monster had been enamoured of the pearl that the diver brought to King Perozes, and had slain"
2812,"the thief, and mourned for seven moons over its loss. When the Huns lured the king into the great pit, he ﬂung it"
2813,"away—Procopius tells the story—nor was it ever found again, though the Emperor Anastasius oﬀered ﬁve"
2814,hundred-weight of gold pieces for it. The King of Malabar had shown to a certain Venetian a rosary of three
2815,"hundred and four pearls, one for every god that he worshipped."
2816,"When the Duke de Valentinois, son of Alexander VI., visited Louis XII. of France, his horse was loaded with"
2817,"gold leaves, according to Brantome, and his cap had double rows of rubies that threw out a great light. Charles"
2818,"of England had ridden in stirrups hung with four hundred and twenty-one diamonds. Richard II had a coat,"
2819,"valued at thirty thousand marks, which was covered with balas rubies. Hall described Henry VIII., on his way to"
2820,"the Tower previous to his coronation, as wearing “a jacket of raised gold, the placard embroidered with"
2821,"diamonds and other rich stones, and a great bauderike about his neck of large balasses.” The favourites of"
2822,James I wore ear-rings of emeralds set in gold ﬁligrane. Edward II gave to Piers Gaveston a suit of red-gold
2823,"armour studded with jacinths, a collar of gold roses set with turquoise-stones, and a skull-cap parsemé with"
2824,"pearls. Henry II. wore jewelled gloves reaching to the elbow, and had a hawk-glove sewn with twelve rubies and"
2825,"ﬁfty-two great orients. The ducal hat of Charles the Rash, the last Duke of Burgundy of his race, was hung with"
2826,pear-shaped pearls and studded with sapphires.
2827,How exquisite life had once been! How gorgeous in its pomp and decoration! Even to read of the luxury of the
2828,dead was wonderful.
2829,Then he turned his attention to embroideries and to the tapestries that performed the oﬃce of frescoes in the
2830,chill rooms of the northern nations of Europe. As he investigated the subject—and he always had an
2831,extraordinary faculty of becoming absolutely absorbed for the moment in whatever he took up—he was almost
2832,"saddened by the reﬂection of the ruin that time brought on beautiful and wonderful things. He, at any rate, had"
2833,"escaped that. Summer followed summer, and the yellow jonquils bloomed and died many times, and nights of"
2834,"horror repeated the story of their shame, but he was unchanged. No winter marred his face or stained his"
2835,ﬂowerlike bloom. How diﬀerent it was with material things! Where had they passed to? Where was the great
2836,"crocus-coloured robe, on which the gods fought against the giants, that had been worked by brown girls for the"
2837,"pleasure of Athena? Where the huge velarium that Nero had stretched across the Colosseum at Rome, that"
2838,"Titan sail of purple on which was represented the starry sky, and Apollo driving a chariot drawn by white, gilt-"
2839,"reined steeds? He longed to see the curious table-napkins wrought for the Priest of the Sun, on which were"
2840,"displayed all the dainties and viands that could be wanted for a feast; the mortuary cloth of King Chilperic, with"
2841,its three hundred golden bees; the fantastic robes that excited the indignation of the Bishop of Pontus and were
2842,"ﬁgured with “lions, panthers, bears, dogs, forests, rocks, hunters—all, in fact, that a painter can copy from"
2843,"nature”; and the coat that Charles of Orleans once wore, on the sleeves of which were embroidered the verses"
2844,"of a song beginning “Madame, je suis tout joyeux,” the musical accompaniment of the words being wrought in"
2845,"gold thread, and each note, of square shape in those days, formed with four pearls. He read of the room that"
2846,was prepared at the palace at Rheims for the use of Queen Joan of Burgundy and was decorated with “thirteen
2847,"hundred and twenty-one parrots, made in broidery, and blazoned with the king’s arms, and ﬁve hundred and"
2848,"sixty-one butterﬂies, whose wings were similarly ornamented with the arms of the queen, the whole worked in"
2849,gold.” Catherine de Medicis had a mourning-bed made for her of black velvet powdered with crescents and
2850,"suns. Its curtains were of damask, with leafy wreaths and garlands, ﬁgured upon a gold and silver ground, and"
2851,"fringed along the edges with broideries of pearls, and it stood in a room hung with rows of the queen’s devices"
2852,in cut black velvet upon cloth of silver. Louis XIV. had gold embroidered caryatides ﬁfteen feet high in his
2853,"apartment. The state bed of Sobieski, King of Poland, was made of Smyrna gold brocade embroidered in"
2854,"turquoises with verses from the Koran. Its supports were of silver gilt, beautifully chased, and profusely set with"
2855,"enamelled and jewelled medallions. It had been taken from the Turkish camp before Vienna, and the standard"
2856,of Mohammed had stood beneath the tremulous gilt of its canopy.
2857,"And so, for a whole year, he sought to accumulate the most exquisite specimens that he could ﬁnd of textile"
2858,"and embroidered work, getting the dainty Delhi muslins, ﬁnely wrought with gold-thread palmates and stitched"
2859,"over with iridescent beetles’ wings; the Dacca gauzes, that from their transparency are known in the East as"
2860,"“woven air,” and “running water,” and “evening dew”; strange ﬁgured cloths from Java; elaborate yellow Chinese"
2861,"hangings; books bound in tawny satins or fair blue silks and wrought with fleurs-de-lis, birds and images; veils of"
2862,"lacis worked in Hungary point; Sicilian brocades and stiﬀ Spanish velvets; Georgian work, with its gilt coins, and"
2863,"Japanese Foukousas, with their green-toned golds and their marvellously plumaged birds."
2864,"He had a special passion, also, for ecclesiastical vestments, as indeed he had for everything connected with"
2865,"the service of the Church. In the long cedar chests that lined the west gallery of his house, he had stored away"
2866,"many rare and beautiful specimens of what is really the raiment of the Bride of Christ, who must wear purple"
2867,and jewels and ﬁne linen that she may hide the pallid macerated body that is worn by the suﬀering that she
2868,seeks for and wounded by self-inﬂicted pain. He possessed a gorgeous cope of crimson silk and gold-thread
2869,"damask, ﬁgured with a repeating pattern of golden pomegranates set in six-petalled formal blossoms, beyond"
2870,which on either side was the pine-apple device wrought in seed-pearls. The orphreys were divided into panels
2871,"representing scenes from the life of the Virgin, and the coronation of the Virgin was ﬁgured in coloured silks"
2872,"upon the hood. This was Italian work of the ﬁfteenth century. Another cope was of green velvet, embroidered"
2873,"with heart-shaped groups of acanthus-leaves, from which spread long-stemmed white blossoms, the details of"
2874,which were picked out with silver thread and coloured crystals. The morse bore a seraph’s head in gold-thread
2875,"raised work. The orphreys were woven in a diaper of red and gold silk, and were starred with medallions of"
2876,"many saints and martyrs, among whom was St. Sebastian. He had chasubles, also, of amber-coloured silk, and"
2877,"blue silk and gold brocade, and yellow silk damask and cloth of gold, ﬁgured with representations of the Passion"
2878,"and Cruciﬁxion of Christ, and embroidered with lions and peacocks and other emblems; dalmatics of white satin"
2879,"and pink silk damask, decorated with tulips and dolphins and fleurs-de-lis; altar frontals of crimson velvet and"
2880,"blue linen; and many corporals, chalice-veils, and sudaria. In the mystic oﬃces to which such things were put,"
2881,there was something that quickened his imagination.
2882,"For these treasures, and everything that he collected in his lovely house, were to be to him means of"
2883,"forgetfulness, modes by which he could escape, for a season, from the fear that seemed to him at times to be"
2884,almost too great to be borne. Upon the walls of the lonely locked room where he had spent so much of his
2885,"boyhood, he had hung with his own hands the terrible portrait whose changing features showed him the real"
2886,"degradation of his life, and in front of it had draped the purple-and-gold pall as a curtain. For weeks he would not"
2887,"go there, would forget the hideous painted thing, and get back his light heart, his wonderful joyousness, his"
2888,"passionate absorption in mere existence. Then, suddenly, some night he would creep out of the house, go down"
2889,"to dreadful places near Blue Gate Fields, and stay there, day after day, until he was driven away. On his return"
2890,"he would sit in front of the picture, sometimes loathing it and himself, but ﬁlled, at other times, with that pride of"
2891,"individualism that is half the fascination of sin, and smiling with secret pleasure at the misshapen shadow that"
2892,had to bear the burden that should have been his own.
2893,"After a few years he could not endure to be long out of England, and gave up the villa that he had shared at"
2894,"Trouville with Lord Henry, as well as the little white walled-in house at Algiers where they had more than once"
2895,"spent the winter. He hated to be separated from the picture that was such a part of his life, and was also afraid"
2896,"that during his absence some one might gain access to the room, in spite of the elaborate bars that he had"
2897,caused to be placed upon the door.
2898,"He was quite conscious that this would tell them nothing. It was true that the portrait still preserved, under all"
2899,"the foulness and ugliness of the face, its marked likeness to himself; but what could they learn from that? He"
2900,would laugh at any one who tried to taunt him. He had not painted it. What was it to him how vile and full of
2901,"shame it looked? Even if he told them, would they believe it?"
2902,"Yet he was afraid. Sometimes when he was down at his great house in Nottinghamshire, entertaining the"
2903,"fashionable young men of his own rank who were his chief companions, and astounding the county by the"
2904,"wanton luxury and gorgeous splendour of his mode of life, he would suddenly leave his guests and rush back to"
2905,town to see that the door had not been tampered with and that the picture was still there. What if it should be
2906,stolen? The mere thought made him cold with horror. Surely the world would know his secret then. Perhaps the
2907,world already suspected it.
2908,"For, while he fascinated many, there were not a few who distrusted him. He was very nearly blackballed at a"
2909,"West End club of which his birth and social position fully entitled him to become a member, and it was said that"
2910,"on one occasion, when he was brought by a friend into the smoking-room of the Churchill, the Duke of Berwick"
2911,and another gentleman got up in a marked manner and went out. Curious stories became current about him
2912,after he had passed his twenty-ﬁfth year. It was rumoured that he had been seen brawling with foreign sailors in
2913,"a low den in the distant parts of Whitechapel, and that he consorted with thieves and coiners and knew the"
2914,"mysteries of their trade. His extraordinary absences became notorious, and, when he used to reappear again in"
2915,"society, men would whisper to each other in corners, or pass him with a sneer, or look at him with cold"
2916,"searching eyes, as though they were determined to discover his secret."
2917,"Of such insolences and attempted slights he, of course, took no notice, and in the opinion of most people his"
2918,"frank debonair manner, his charming boyish smile, and the inﬁnite grace of that wonderful youth that seemed"
2919,"never to leave him, were in themselves a suﬃcient answer to the calumnies, for so they termed them, that were"
2920,"circulated about him. It was remarked, however, that some of those who had been most intimate with him"
2921,"appeared, after a time, to shun him. Women who had wildly adored him, and for his sake had braved all social"
2922,"censure and set convention at deﬁance, were seen to grow pallid with shame or horror if Dorian Gray entered"
2923,the room.
2924,Yet these whispered scandals only increased in the eyes of many his strange and dangerous charm. His
2925,"great wealth was a certain element of security. Society—civilized society, at least—is never very ready to"
2926,believe anything to the detriment of those who are both rich and fascinating. It feels instinctively that manners
2927,"are of more importance than morals, and, in its opinion, the highest respectability is of much less value than the"
2928,"possession of a good chef. And, after all, it is a very poor consolation to be told that the man who has given one"
2929,"a bad dinner, or poor wine, is irreproachable in his private life. Even the cardinal virtues cannot atone for half-"
2930,"cold entrées, as Lord Henry remarked once, in a discussion on the subject, and there is possibly a good deal to"
2931,"be said for his view. For the canons of good society are, or should be, the same as the canons of art. Form is"
2932,"absolutely essential to it. It should have the dignity of a ceremony, as well as its unreality, and should combine"
2933,the insincere character of a romantic play with the wit and beauty that make such plays delightful to us. Is
2934,insincerity such a terrible thing? I think not. It is merely a method by which we can multiply our personalities.
2935,"Such, at any rate, was Dorian Gray’s opinion. He used to wonder at the shallow psychology of those who"
2936,"conceive the ego in man as a thing simple, permanent, reliable, and of one essence. To him, man was a being"
2937,"with myriad lives and myriad sensations, a complex multiform creature that bore within itself strange legacies of"
2938,"thought and passion, and whose very ﬂesh was tainted with the monstrous maladies of the dead. He loved to"
2939,stroll through the gaunt cold picture-gallery of his country house and look at the various portraits of those whose
2940,"blood ﬂowed in his veins. Here was Philip Herbert, described by Francis Osborne, in his Memoires on the"
2941,"Reigns of Queen Elizabeth and King James, as one who was “caressed by the Court for his handsome face,"
2942,which kept him not long company.” Was it young Herbert’s life that he sometimes led? Had some strange
2943,poisonous germ crept from body to body till it had reached his own? Was it some dim sense of that ruined grace
2944,"that had made him so suddenly, and almost without cause, give utterance, in Basil Hallward’s studio, to the mad"
2945,"prayer that had so changed his life? Here, in gold-embroidered red doublet, jewelled surcoat, and gilt-edged ruﬀ"
2946,"and wristbands, stood Sir Anthony Sherard, with his silver-and-black armour piled at his feet. What had this"
2947,man’s legacy been? Had the lover of Giovanna of Naples bequeathed him some inheritance of sin and shame?
2948,"Were his own actions merely the dreams that the dead man had not dared to realize? Here, from the fading"
2949,"canvas, smiled Lady Elizabeth Devereux, in her gauze hood, pearl stomacher, and pink slashed sleeves. A"
2950,"ﬂower was in her right hand, and her left clasped an enamelled collar of white and damask roses. On a table by"
2951,her side lay a mandolin and an apple. There were large green rosettes upon her little pointed shoes. He knew
2952,"her life, and the strange stories that were told about her lovers. Had he something of her temperament in him?"
2953,"These oval, heavy-lidded eyes seemed to look curiously at him. What of George Willoughby, with his powdered"
2954,"hair and fantastic patches? How evil he looked! The face was saturnine and swarthy, and the sensual lips"
2955,seemed to be twisted with disdain. Delicate lace ruﬄes fell over the lean yellow hands that were so overladen
2956,"with rings. He had been a macaroni of the eighteenth century, and the friend, in his youth, of Lord Ferrars. What"
2957,"of the second Lord Beckenham, the companion of the Prince Regent in his wildest days, and one of the"
2958,"witnesses at the secret marriage with Mrs. Fitzherbert? How proud and handsome he was, with his chestnut"
2959,curls and insolent pose! What passions had he bequeathed? The world had looked upon him as infamous. He
2960,had led the orgies at Carlton House. The star of the Garter glittered upon his breast. Beside him hung the
2961,"portrait of his wife, a pallid, thin-lipped woman in black. Her blood, also, stirred within him. How curious it all"
2962,"seemed! And his mother with her Lady Hamilton face and her moist, wine-dashed lips—he knew what he had"
2963,"got from her. He had got from her his beauty, and his passion for the beauty of others. She laughed at him in"
2964,her loose Bacchante dress. There were vine leaves in her hair. The purple spilled from the cup she was holding.
2965,"The carnations of the painting had withered, but the eyes were still wonderful in their depth and brilliancy of"
2966,colour. They seemed to follow him wherever he went.
2967,"Yet one had ancestors in literature as well as in one’s own race, nearer perhaps in type and temperament,"
2968,"many of them, and certainly with an inﬂuence of which one was more absolutely conscious. There were times"
2969,"when it appeared to Dorian Gray that the whole of history was merely the record of his own life, not as he had"
2970,"lived it in act and circumstance, but as his imagination had created it for him, as it had been in his brain and in"
2971,"his passions. He felt that he had known them all, those strange terrible ﬁgures that had passed across the stage"
2972,of the world and made sin so marvellous and evil so full of subtlety. It seemed to him that in some mysterious
2973,way their lives had been his own.
2974,The hero of the wonderful novel that had so inﬂuenced his life had himself known this curious fancy. In the
2975,"seventh chapter he tells how, crowned with laurel, lest lightning might strike him, he had sat, as Tiberius, in a"
2976,"garden at Capri, reading the shameful books of Elephantis, while dwarfs and peacocks strutted round him and"
2977,"the ﬂute-player mocked the swinger of the censer; and, as Caligula, had caroused with the green-shirted"
2978,"jockeys in their stables and supped in an ivory manger with a jewel-frontleted horse; and, as Domitian, had"
2979,"wandered through a corridor lined with marble mirrors, looking round with haggard eyes for the reﬂection of the"
2980,"dagger that was to end his days, and sick with that ennui, that terrible tædium vitæ, that comes on those to"
2981,"whom life denies nothing; and had peered through a clear emerald at the red shambles of the circus and then,"
2982,"in a litter of pearl and purple drawn by silver-shod mules, been carried through the Street of Pomegranates to a"
2983,"House of Gold and heard men cry on Nero Caesar as he passed by; and, as Elagabalus, had painted his face"
2984,"with colours, and plied the distaﬀ among the women, and brought the Moon from Carthage and given her in"
2985,mystic marriage to the Sun.
2986,"Over and over again Dorian used to read this fantastic chapter, and the two chapters immediately following, in"
2987,"which, as in some curious tapestries or cunningly wrought enamels, were pictured the awful and beautiful forms"
2988,"of those whom vice and blood and weariness had made monstrous or mad: Filippo, Duke of Milan, who slew his"
2989,wife and painted her lips with a scarlet poison that her lover might suck death from the dead thing he fondled;
2990,"Pietro Barbi, the Venetian, known as Paul the Second, who sought in his vanity to assume the title of Formosus,"
2991,"and whose tiara, valued at two hundred thousand ﬂorins, was bought at the price of a terrible sin; Gian Maria"
2992,"Visconti, who used hounds to chase living men and whose murdered body was covered with roses by a harlot"
2993,"who had loved him; the Borgia on his white horse, with Fratricide riding beside him and his mantle stained with"
2994,"the blood of Perotto; Pietro Riario, the young Cardinal Archbishop of Florence, child and minion of Sixtus IV.,"
2995,"whose beauty was equalled only by his debauchery, and who received Leonora of Aragon in a pavilion of white"
2996,"and crimson silk, ﬁlled with nymphs and centaurs, and gilded a boy that he might serve at the feast as"
2997,"Ganymede or Hylas; Ezzelin, whose melancholy could be cured only by the spectacle of death, and who had a"
2998,"passion for red blood, as other men have for red wine—the son of the Fiend, as was reported, and one who had"
2999,"cheated his father at dice when gambling with him for his own soul; Giambattista Cibo, who in mockery took the"
3000,name of Innocent and into whose torpid veins the blood of three lads was infused by a Jewish doctor;
3001,"Sigismondo Malatesta, the lover of Isotta and the lord of Rimini, whose eﬃgy was burned at Rome as the"
3002,"enemy of God and man, who strangled Polyssena with a napkin, and gave poison to Ginevra d’Este in a cup of"
3003,"emerald, and in honour of a shameful passion built a pagan church for Christian worship; Charles VI., who had"
3004,"so wildly adored his brother’s wife that a leper had warned him of the insanity that was coming on him, and who,"
3005,"when his brain had sickened and grown strange, could only be soothed by Saracen cards painted with the"
3006,"images of love and death and madness; and, in his trimmed jerkin and jewelled cap and acanthuslike curls,"
3007,"Grifonetto Baglioni, who slew Astorre with his bride, and Simonetto with his page, and whose comeliness was"
3008,"such that, as he lay dying in the yellow piazza of Perugia, those who had hated him could not choose but weep,"
3009,"and Atalanta, who had cursed him, blessed him."
3010,"There was a horrible fascination in them all. He saw them at night, and they troubled his imagination in the"
3011,"day. The Renaissance knew of strange manners of poisoning—poisoning by a helmet and a lighted torch, by an"
3012,"embroidered glove and a jewelled fan, by a gilded pomander and by an amber chain. Dorian Gray had been"
3013,poisoned by a book. There were moments when he looked on evil simply as a mode through which he could
3014,realize his conception of the beautiful.
3015,                                                CHAPTER XII.
3016,"It was on the ninth of November, the eve of his own thirty-eighth birthday, as he often remembered"
3017,afterwards.
3018,"He was walking home about eleven o’clock from Lord Henry’s, where he had been dining, and was wrapped"
3019,"in heavy furs, as the night was cold and foggy. At the corner of Grosvenor Square and South Audley Street, a"
3020,"man passed him in the mist, walking very fast and with the collar of his grey ulster turned up. He had a bag in"
3021,"his hand. Dorian recognized him. It was Basil Hallward. A strange sense of fear, for which he could not account,"
3022,came over him. He made no sign of recognition and went on quickly in the direction of his own house.
3023,But Hallward had seen him. Dorian heard him ﬁrst stopping on the pavement and then hurrying after him. In a
3024,"few moments, his hand was on his arm."
3025,“Dorian! What an extraordinary piece of luck! I have been waiting for you in your library ever since nine
3026,"o’clock. Finally I took pity on your tired servant and told him to go to bed, as he let me out. I am oﬀ to Paris by"
3027,"the midnight train, and I particularly wanted to see you before I left. I thought it was you, or rather your fur coat,"
3028,as you passed me. But I wasn’t quite sure. Didn’t you recognize me?”
3029,"“In this fog, my dear Basil? Why, I can’t even recognize Grosvenor Square. I believe my house is somewhere"
3030,"about here, but I don’t feel at all certain about it. I am sorry you are going away, as I have not seen you for ages."
3031,But I suppose you will be back soon?”
3032,“No: I am going to be out of England for six months. I intend to take a studio in Paris and shut myself up till I
3033,"have ﬁnished a great picture I have in my head. However, it wasn’t about myself I wanted to talk. Here we are at"
3034,your door. Let me come in for a moment. I have something to say to you.”
3035,“I shall be charmed. But won’t you miss your train?” said Dorian Gray languidly as he passed up the steps
3036,and opened the door with his latch-key.
3037,"The lamplight struggled out through the fog, and Hallward looked at his watch. “I have heaps of time,” he"
3038,"answered. “The train doesn’t go till twelve-ﬁfteen, and it is only just eleven. In fact, I was on my way to the club"
3039,"to look for you, when I met you. You see, I shan’t have any delay about luggage, as I have sent on my heavy"
3040,"things. All I have with me is in this bag, and I can easily get to Victoria in twenty minutes.”"
3041,Dorian looked at him and smiled. “What a way for a fashionable painter to travel! A Gladstone bag and an
3042,"ulster! Come in, or the fog will get into the house. And mind you don’t talk about anything serious. Nothing is"
3043,serious nowadays. At least nothing should be.”
3044,"Hallward shook his head, as he entered, and followed Dorian into the library. There was a bright wood ﬁre"
3045,"blazing in the large open hearth. The lamps were lit, and an open Dutch silver spirit-case stood, with some"
3046,"siphons of soda-water and large cut-glass tumblers, on a little marqueterie table."
3047,"“You see your servant made me quite at home, Dorian. He gave me everything I wanted, including your best"
3048,gold-tipped cigarettes. He is a most hospitable creature. I like him much better than the Frenchman you used to
3049,"have. What has become of the Frenchman, by the bye?”"
3050,"Dorian shrugged his shoulders. “I believe he married Lady Radley’s maid, and has established her in Paris as"
3051,"an English dressmaker. Anglomanie is very fashionable over there now, I hear. It seems silly of the French,"
3052,"doesn’t it? But—do you know?—he was not at all a bad servant. I never liked him, but I had nothing to complain"
3053,about. One often imagines things that are quite absurd. He was really very devoted to me and seemed quite
3054,sorry when he went away. Have another brandy-and-soda? Or would you like hock-and-seltzer? I always take
3055,hock-and-seltzer myself. There is sure to be some in the next room.”
3056,"“Thanks, I won’t have anything more,” said the painter, taking his cap and coat oﬀ and throwing them on the"
3057,"bag that he had placed in the corner. “And now, my dear fellow, I want to speak to you seriously. Don’t frown"
3058,like that. You make it so much more difficult for me.”
3059,"“What is it all about?” cried Dorian in his petulant way, ﬂinging himself down on the sofa. “I hope it is not about"
3060,myself. I am tired of myself to-night. I should like to be somebody else.”
3061,"“It is about yourself,” answered Hallward in his grave deep voice, “and I must say it to you. I shall only keep"
3062,you half an hour.”
3063,Dorian sighed and lit a cigarette. “Half an hour!” he murmured.
3064,"“It is not much to ask of you, Dorian, and it is entirely for your own sake that I am speaking. I think it right that"
3065,you should know that the most dreadful things are being said against you in London.”
3066,"“I don’t wish to know anything about them. I love scandals about other people, but scandals about myself"
3067,don’t interest me. They have not got the charm of novelty.”
3068,"“They must interest you, Dorian. Every gentleman is interested in his good name. You don’t want people to"
3069,"talk of you as something vile and degraded. Of course, you have your position, and your wealth, and all that kind"
3070,"of thing. But position and wealth are not everything. Mind you, I don’t believe these rumours at all. At least, I"
3071,can’t believe them when I see you. Sin is a thing that writes itself across a man’s face. It cannot be concealed.
3072,"People talk sometimes of secret vices. There are no such things. If a wretched man has a vice, it shows itself in"
3073,"the lines of his mouth, the droop of his eyelids, the moulding of his hands even. Somebody—I won’t mention his"
3074,"name, but you know him—came to me last year to have his portrait done. I had never seen him before, and had"
3075,"never heard anything about him at the time, though I have heard a good deal since. He oﬀered an extravagant"
3076,price. I refused him. There was something in the shape of his ﬁngers that I hated. I know now that I was quite
3077,"right in what I fancied about him. His life is dreadful. But you, Dorian, with your pure, bright, innocent face, and"
3078,"your marvellous untroubled youth—I can’t believe anything against you. And yet I see you very seldom, and you"
3079,"never come down to the studio now, and when I am away from you, and I hear all these hideous things that"
3080,"people are whispering about you, I don’t know what to say. Why is it, Dorian, that a man like the Duke of"
3081,Berwick leaves the room of a club when you enter it? Why is it that so many gentlemen in London will neither go
3082,to your house or invite you to theirs? You used to be a friend of Lord Staveley. I met him at dinner last week.
3083,"Your name happened to come up in conversation, in connection with the miniatures you have lent to the"
3084,"exhibition at the Dudley. Staveley curled his lip and said that you might have the most artistic tastes, but that"
3085,"you were a man whom no pure-minded girl should be allowed to know, and whom no chaste woman should sit"
3086,"in the same room with. I reminded him that I was a friend of yours, and asked him what he meant. He told me."
